LoanID,CustomerID,LoanType, LoanAmount ,InterestRate,LoanStartDate,LoanEndDate,,
977,1,Car," 49,722.00 ",6.06,16/07/2020,19/07/2028,,
2222,3,Education," 376,235.00 ",9.5,03/05/2024,02/02/2026,,DON’T HAVE ANY DUBLICATED VALUE
1982,5,Personal," 427,380.00 ",12.34,16/05/2021,18/07/2026,,
698,6,Car," 207,802.00 ",11.36,27/01/2022,12/02/2030,,CATEGORY OF LOAN TYPE --> (  CAR -- EDUCATION -- HOME -- PERSONAL )
2414,6,Personal," 27,039.00 ",7.81,09/06/2023,27/03/2030,,
340,11,Home," 130,485.00 ",7.43,26/08/2022,15/06/2025,,
411,11,Education," 85,999.00 ",4.27,22/09/2021,02/02/2029,,
500,13,Personal," 389,313.00 ",9.56,09/07/2023,25/12/2026,,
1293,13,Car," 336,736.00 ",9.88,22/08/2023,07/11/2025,,
1220,16,Car," 457,627.00 ",10.88,28/01/2024,08/06/2029,,
1821,16,Car," 44,700.00 ",12.02,08/08/2022,26/03/2029,,
598,20,Car," 410,535.00 ",10.29,27/10/2022,12/06/2028,,
1801,22,Car," 235,209.00 ",9.21,10/04/2024,08/03/2027,,
166,24,Education," 450,988.00 ",8.19,15/06/2023,07/10/2026,,
2051,26,Personal," 63,632.00 ",6.1,18/10/2023,22/03/2026,,
1657,28,Car," 385,100.00 ",3.45,12/05/2020,23/03/2029,,
352,29,Car," 251,459.00 ",9.52,16/06/2020,02/05/2028,,
2462,29,Personal," 246,360.00 ",12.4,15/02/2022,21/03/2028,,
850,34,Car," 158,892.00 ",8.46,07/10/2023,10/12/2028,,
600,36,Car," 411,695.00 ",3.39,12/10/2021,25/08/2028,,
1059,42,Personal," 470,259.00 ",6.2,27/07/2022,06/01/2030,,
664,43,Personal," 335,645.00 ",6.63,03/01/2021,04/03/2028,,
2043,44,Education," 33,466.00 ",11.61,11/07/2023,31/08/2029,,
767,45,Education," 293,231.00 ",9.44,05/10/2023,25/09/2027,,
477,45,Personal," 54,064.00 ",11.52,13/07/2023,18/09/2027,,
1760,46,Home," 27,096.00 ",10.16,13/09/2022,05/06/2028,,
1985,50,Home," 239,813.00 ",10.79,26/10/2020,08/12/2026,,
2087,51,Personal," 41,568.00 ",4.87,27/06/2021,25/01/2030,,
2145,54,Home," 493,292.00 ",5.04,29/05/2023,05/05/2029,,
890,54,Education," 22,403.00 ",4.25,17/03/2024,12/07/2028,,
1287,62,Education," 40,282.00 ",3.12,06/01/2024,05/03/2030,,
1646,63,Car," 218,794.00 ",3.52,20/02/2022,12/11/2026,,
1536,64,Personal," 101,255.00 ",8.31,10/05/2024,27/10/2029,,
1874,65,Personal," 253,232.00 ",7.89,15/10/2022,05/05/2027,,
1791,65,Personal," 128,466.00 ",11.86,19/07/2020,19/03/2030,,
613,65,Education," 122,226.00 ",8.63,16/07/2021,26/04/2026,,
614,66,Personal," 244,025.00 ",12.43,28/05/2020,01/10/2028,,
916,68,Personal," 172,904.00 ",11.34,04/02/2024,18/07/2027,,
1181,69,Personal," 362,070.00 ",8.81,17/07/2022,08/03/2028,,
1217,72,Education," 215,626.00 ",10.28,06/05/2023,23/08/2029,,
694,73,Home," 65,039.00 ",6.29,08/04/2024,21/09/2025,,
293,74,Car," 218,406.00 ",7.34,06/04/2023,28/05/2027,,
192,76,Education," 102,489.00 ",8.16,09/11/2022,21/10/2026,,
1906,82,Car," 313,295.00 ",6.42,15/03/2023,21/02/2027,,
2305,83,Education," 299,209.00 ",4.28,02/03/2022,08/11/2028,,
1188,83,Education," 131,593.00 ",8.7,19/06/2020,25/02/2028,,
122,83,Education," 130,769.00 ",9.05,28/02/2021,02/08/2029,,
1415,84,Personal," 183,670.00 ",5.21,31/10/2020,17/06/2028,,
1423,90,Home," 28,583.00 ",8.21,22/01/2021,04/03/2028,,
321,96,Home," 439,062.00 ",7.22,15/04/2023,29/11/2029,,
1948,96,Car," 309,534.00 ",4.23,04/04/2023,16/06/2025,,
