CallID,CustomerID,CallDate,IssueType,Resolved
1,1685,2024-08-06,Account Access,Yes
2,2750,2025-02-26,Transaction Dispute,Yes
3,596,2025-01-25,Transaction Dispute,Yes
4,4760,2024-08-03,Transaction Dispute,No
5,1302,2024-09-02,Loan Query,No
6,3051,2024-06-01,Card Issue,No
7,3688,2025-03-14,Card Issue,Yes
8,4671,2024-06-06,Loan Query,No
9,2455,2025-04-06,Account Access,Yes
10,4140,2025-01-05,Transaction Dispute,Yes
11,54,2024-12-05,Card Issue,No
12,2079,2024-12-20,Loan Query,Yes
13,2071,2024-08-17,Loan Query,Yes
14,2289,2025-01-19,Transaction Dispute,Yes
15,293,2025-04-19,Loan Query,No
16,1673,2024-12-29,Account Access,No
17,803,2024-05-17,Account Access,No
18,577,2024-09-08,Account Access,No
19,3068,2024-12-31,Transaction Dispute,No
20,548,2024-09-26,Transaction Dispute,No
21,1997,2025-02-22,Account Access,No
22,2302,2024-06-27,Loan Query,No
23,3656,2024-09-10,Transaction Dispute,Yes
24,1392,2024-12-20,Card Issue,Yes
25,3992,2025-04-21,Loan Query,Yes
26,4857,2025-04-23,Account Access,Yes
27,3663,2025-03-23,Account Access,No
28,3764,2024-11-16,Loan Query,No
29,498,2024-07-21,Account Access,Yes
30,51,2024-05-31,Loan Query,Yes
31,4835,2024-12-01,Loan Query,No
32,456,2024-06-03,Card Issue,Yes
33,2212,2025-01-01,Loan Query,No
34,804,2024-10-31,Card Issue,Yes
35,526,2025-01-11,Account Access,No
36,3535,2024-08-02,Card Issue,No
37,826,2025-01-22,Transaction Dispute,Yes
38,2688,2025-01-11,Card Issue,No
39,1125,2024-12-08,Card Issue,No
40,2329,2024-08-06,Account Access,Yes
41,984,2024-07-23,Card Issue,No
42,1566,2025-01-19,Transaction Dispute,Yes
43,4935,2024-10-23,Account Access,No
44,2569,2024-06-15,Loan Query,Yes
45,3816,2024-08-03,Loan Query,No
46,857,2025-01-28,Transaction Dispute,No
47,1707,2024-11-19,Account Access,Yes
48,1414,2024-09-03,Loan Query,Yes
49,2037,2025-04-04,Account Access,Yes
50,1444,2025-01-07,Transaction Dispute,No
51,210,2024-11-04,Transaction Dispute,Yes
52,2157,2024-07-11,Loan Query,No
53,4377,2024-08-12,Account Access,Yes
54,2873,2025-05-07,Transaction Dispute,Yes
55,4350,2024-08-30,Card Issue,No
56,4719,2025-03-04,Account Access,No
57,3110,2024-06-22,Card Issue,No
58,4089,2024-10-04,Account Access,No
59,105,2024-07-02,Account Access,Yes
60,1672,2024-08-05,Loan Query,No
61,3628,2025-01-29,Account Access,Yes
62,4034,2024-05-15,Account Access,Yes
63,3638,2024-11-09,Card Issue,No
64,2285,2025-03-30,Account Access,No
65,4573,2025-04-25,Card Issue,Yes
66,63,2025-01-10,Account Access,No
67,1485,2024-10-10,Loan Query,No
68,3310,2025-03-07,Card Issue,No
69,2983,2025-01-03,Account Access,Yes
70,2281,2024-11-15,Card Issue,No
71,3909,2024-07-16,Card Issue,Yes
72,4884,2024-07-08,Loan Query,Yes
73,4192,2024-06-20,Card Issue,Yes
74,617,2024-10-19,Card Issue,No
75,3488,2025-04-28,Transaction Dispute,No
76,2995,2024-10-23,Account Access,Yes
77,2925,2025-01-31,Account Access,No
78,4610,2024-12-05,Account Access,Yes
79,1602,2025-01-23,Account Access,No
80,3672,2024-12-11,Account Access,Yes
81,1987,2025-01-27,Account Access,Yes
82,2317,2024-05-30,Loan Query,Yes
83,910,2025-01-19,Transaction Dispute,Yes
84,578,2024-11-03,Card Issue,Yes
85,2309,2025-03-14,Account Access,No
86,3344,2025-05-06,Loan Query,No
87,556,2024-12-29,Account Access,Yes
88,2895,2024-07-08,Account Access,Yes
89,3946,2025-04-30,Loan Query,Yes
90,2330,2025-01-14,Account Access,No
91,3867,2025-04-14,Account Access,Yes
92,1845,2025-02-17,Transaction Dispute,Yes
93,4233,2024-05-30,Loan Query,No
94,2182,2024-06-25,Loan Query,Yes
95,1842,2024-05-25,Card Issue,Yes
96,2559,2025-03-18,Transaction Dispute,Yes
97,3468,2024-07-17,Account Access,Yes
98,1590,2025-03-17,Loan Query,No
99,4252,2025-04-10,Loan Query,No
100,502,2025-04-13,Card Issue,Yes
101,3956,2025-01-17,Account Access,No
102,1383,2025-02-20,Loan Query,No
103,1950,2025-02-13,Card Issue,Yes
104,3952,2024-11-17,Card Issue,Yes
105,171,2024-09-27,Card Issue,No
106,1176,2024-09-25,Transaction Dispute,No
107,1232,2025-04-01,Account Access,No
108,3961,2024-11-09,Account Access,Yes
109,3350,2024-11-08,Loan Query,Yes
110,2898,2025-02-24,Account Access,No
111,4912,2024-06-29,Transaction Dispute,No
112,2955,2024-12-16,Loan Query,Yes
113,1654,2024-05-29,Card Issue,No
114,133,2025-05-08,Transaction Dispute,No
115,2904,2024-10-12,Transaction Dispute,Yes
116,1938,2024-10-11,Account Access,No
117,3390,2025-02-13,Account Access,Yes
118,3162,2024-08-08,Card Issue,Yes
119,1877,2024-09-13,Loan Query,No
120,1103,2025-01-03,Transaction Dispute,Yes
121,1959,2024-06-16,Card Issue,Yes
122,1830,2024-10-13,Card Issue,Yes
123,410,2024-09-14,Transaction Dispute,No
124,1169,2024-09-21,Transaction Dispute,No
125,4403,2024-06-21,Transaction Dispute,Yes
126,4118,2025-03-17,Card Issue,No
127,4184,2024-05-11,Transaction Dispute,Yes
128,2938,2025-02-28,Card Issue,Yes
129,725,2024-09-01,Account Access,No
130,3294,2025-02-12,Card Issue,Yes
131,981,2024-11-13,Loan Query,Yes
132,1721,2025-01-18,Account Access,No
