TransactionID,AccountID,TransactionType,Amount,TransactionDate
1,3913,Transfer,3150.12,2023-09-24
2,2591,Transfer,6212.12,2022-06-07
3,3277,Transfer,451.72,2024-11-24
4,3404,Deposit,8525.28,2023-04-06
5,4345,Deposit,7306.17,2025-01-21
6,2266,Withdrawal,559.16,2025-02-16
7,1031,Withdrawal,6976.14,2023-05-11
8,3339,Payment,509.1,2025-02-20
9,4911,Withdrawal,366.62,2024-03-15
10,4721,Deposit,4272.02,2023-11-23
11,3219,Transfer,7021.26,2024-01-15
12,2828,Payment,9780.11,2023-08-02
13,207,Deposit,3356.54,2022-05-18
14,3448,Withdrawal,1401.43,2023-12-13
15,3407,Deposit,4912.52,2024-06-30
16,3952,Transfer,999.74,2025-02-05
17,1932,Withdrawal,5949.48,2024-04-08
18,3836,Withdrawal,8590.31,2024-10-18
19,827,Payment,5671.44,2025-02-19
20,1362,Transfer,7677.12,2025-01-20
21,4059,Deposit,2253.87,2022-08-19
22,172,Transfer,7011.21,2023-09-18
23,1669,Deposit,8958.62,2023-05-27
24,1433,Transfer,1218.76,2023-06-03
25,3163,Transfer,3442.89,2025-04-04
26,1340,Withdrawal,8783.8,2024-11-05
27,1626,Deposit,4048.53,2022-05-13
28,745,Deposit,5776.81,2024-08-02
29,2552,Withdrawal,3025.52,2024-11-13
30,2825,Deposit,4747.91,2023-05-03
31,2150,Withdrawal,8343.31,2022-06-25
32,1906,Payment,1014.99,2023-03-11
33,378,Withdrawal,8562.82,2023-06-13
34,4292,Withdrawal,9171.1,2025-01-08
35,4290,Payment,7480.56,2023-10-31
36,3578,Deposit,8759.7,2022-10-27
37,283,Withdrawal,6163.41,2022-11-07
38,4724,Transfer,3451.39,2024-04-22
39,4749,Deposit,6577.82,2024-08-06
40,4309,Withdrawal,5379.77,2024-08-11
41,2294,Deposit,2709.36,2022-10-08
42,1803,Transfer,4284.9,2024-07-15
43,3750,Deposit,879.09,2023-02-05
44,1,Withdrawal,4766.38,2022-07-01
45,4609,Transfer,1193.98,2023-09-18
46,830,Withdrawal,1727.37,2024-01-21
47,3030,Withdrawal,6677.74,2024-12-11
48,54,Deposit,8831.93,2023-03-07
49,3197,Transfer,3275.2,2023-02-25
50,4145,Payment,6129.31,2023-03-26
51,3244,Payment,6842.54,2024-07-19
52,1333,Deposit,8217.52,2025-04-09
53,2696,Deposit,2674.37,2023-12-30
54,2661,Withdrawal,3140.17,2024-12-13
55,925,Transfer,968.26,2022-09-21
56,2463,Withdrawal,2846.63,2023-06-21
57,998,Payment,8476.05,2023-12-05
58,587,Deposit,5688.04,2024-08-24
59,4109,Withdrawal,262.37,2023-12-06
60,1528,Payment,1442.49,2025-02-20
61,1444,Transfer,4269.32,2024-03-31
62,2479,Payment,3755.61,2024-10-29
63,1360,Payment,8103.78,2022-05-17
64,1731,Withdrawal,7436.09,2022-10-20
65,2985,Transfer,2060.13,2023-11-20
66,697,Payment,5520.68,2023-07-23
67,3878,Withdrawal,6034.8,2023-05-06
68,3737,Transfer,5590.3,2022-09-19
69,203,Withdrawal,774.62,2024-05-11
70,991,Payment,1719.27,2024-09-20
71,4493,Withdrawal,691.33,2024-10-11
72,2552,Transfer,9055.16,2025-01-02
73,583,Deposit,825.87,2023-07-14
74,4722,Deposit,6503.14,2023-06-03
75,4820,Payment,9738.88,2024-05-07
76,3522,Transfer,1472.74,2025-01-04
77,2827,Payment,9769.01,2025-02-02
78,4387,Withdrawal,307.98,2025-03-20
79,2687,Deposit,7037.76,2023-04-11
80,2548,Payment,5636.79,2022-06-03
81,652,Payment,2321.94,2023-07-29
82,3129,Deposit,5692.12,2022-08-29
83,3487,Transfer,9631.31,2025-01-01
84,3225,Transfer,3425.19,2023-07-27
85,2543,Deposit,5744.89,2023-12-03
86,3099,Payment,8473.93,2023-03-16
87,733,Payment,2455.42,2024-09-28
88,3013,Withdrawal,606.2,2023-12-16
89,218,Deposit,1758.28,2023-09-23
90,3,Payment,487.77,2022-09-05
91,469,Transfer,4534.44,2024-12-01
92,2921,Deposit,4690.47,2023-11-29
93,157,Payment,9540.02,2024-05-31
94,4675,Transfer,8111.27,2024-02-02
95,2997,Transfer,3975.33,2024-08-02
96,2031,Withdrawal,5003.38,2023-02-06
97,4094,Transfer,636.37,2023-04-19
98,1102,Payment,2523.83,2023-02-17
99,2563,Withdrawal,5944.57,2023-06-04
100,672,Transfer,6502.18,2023-11-24
101,3328,Withdrawal,2025.61,2024-12-09
102,4829,Payment,3419.01,2023-03-18
103,2255,Transfer,7168.09,2023-10-25
104,3594,Payment,9784.98,2024-08-17
105,985,Payment,5395.93,2022-10-02
106,4229,Payment,6003.85,2023-12-14
107,3975,Deposit,4006.0,2023-12-23
108,282,Deposit,3506.61,2023-09-22
109,779,Withdrawal,5102.71,2024-01-07
110,3184,Deposit,3055.52,2024-01-10
111,3187,Withdrawal,2850.61,2023-08-15
112,893,Payment,8311.69,2023-08-27
113,1510,Withdrawal,5829.14,2022-08-30
114,1804,Transfer,8697.71,2023-05-05
115,4996,Deposit,7993.32,2023-09-04
116,3742,Deposit,2985.89,2024-08-05
117,143,Withdrawal,1356.34,2024-05-03
118,3772,Withdrawal,5851.79,2024-11-23
119,396,Payment,2790.23,2023-02-14
120,263,Transfer,6595.41,2023-04-03
121,102,Deposit,2927.76,2022-12-26
122,3286,Transfer,3072.84,2022-09-01
123,4085,Deposit,4245.63,2022-08-26
124,3543,Transfer,2409.12,2023-07-11
125,1504,Payment,9314.45,2024-03-13
126,4278,Payment,3802.31,2024-07-05
127,3273,Withdrawal,3976.57,2022-05-19
128,4691,Payment,1776.48,2024-04-26
129,4419,Withdrawal,9244.73,2022-09-10
130,1806,Transfer,7808.06,2023-11-08
131,3528,Deposit,9235.4,2023-05-08
132,2266,Withdrawal,9987.71,2024-08-26
133,2028,Transfer,3645.41,2023-07-31
134,2060,Payment,7332.72,2023-05-08
135,2695,Deposit,8723.36,2023-07-15
136,3843,Deposit,5233.59,2022-11-01
137,1634,Transfer,6426.54,2025-05-04
138,795,Withdrawal,3924.25,2024-12-31
139,3664,Withdrawal,3285.94,2023-09-02
140,896,Withdrawal,2356.49,2025-03-22
141,3690,Payment,2090.48,2024-10-18
142,3613,Transfer,7737.29,2025-04-09
143,3450,Withdrawal,4984.28,2025-03-08
144,3505,Payment,65.26,2023-06-11
145,1290,Payment,6764.44,2023-12-29
146,2354,Payment,7034.02,2023-09-01
147,1352,Payment,1234.82,2023-03-02
148,1812,Payment,673.42,2022-12-21
149,3451,Transfer,4399.29,2023-02-26
150,4249,Withdrawal,4853.72,2024-12-31
151,3736,Payment,3611.99,2025-04-15
152,2947,Transfer,1817.07,2024-07-18
153,580,Transfer,9236.53,2025-03-08
154,2104,Transfer,7786.86,2023-03-30
155,2342,Withdrawal,1314.06,2024-07-02
156,1604,Withdrawal,7671.03,2023-05-04
157,4362,Payment,3085.43,2023-09-16
158,1222,Deposit,3576.93,2023-08-25
159,1414,Withdrawal,38.2,2024-05-01
160,2282,Deposit,5369.51,2024-12-22
161,903,Transfer,6187.28,2023-08-26
162,2975,Payment,8608.11,2024-10-16
163,4465,Deposit,6298.04,2024-07-28
164,3752,Withdrawal,57.45,2024-09-17
165,585,Deposit,971.19,2022-07-10
166,1846,Deposit,4547.91,2025-03-09
167,4437,Withdrawal,8148.5,2023-12-04
168,2799,Transfer,2330.94,2024-12-07
169,102,Withdrawal,7794.9,2022-05-30
170,4472,Withdrawal,6877.14,2023-05-19
171,1732,Deposit,5119.94,2022-05-13
172,3901,Withdrawal,9643.62,2024-08-27
173,1873,Withdrawal,1938.65,2023-09-17
174,1050,Withdrawal,3826.1,2022-09-03
175,2080,Payment,7067.82,2024-12-05
176,791,Payment,1540.57,2023-10-15
177,4325,Deposit,7468.42,2022-05-12
178,2181,Transfer,8019.69,2023-09-30
179,3681,Transfer,2981.08,2023-05-16
180,1855,Withdrawal,6113.82,2025-02-19
181,4402,Payment,4524.42,2023-06-19
182,1795,Payment,9035.36,2023-05-14
183,4138,Payment,9579.65,2024-06-11
184,35,Deposit,9831.85,2022-10-08
185,4927,Payment,9713.1,2022-12-17
186,4462,Transfer,5962.01,2022-05-28
187,240,Payment,104.2,2023-01-14
188,151,Withdrawal,1637.76,2024-03-14
189,700,Withdrawal,4948.16,2024-07-22
190,1072,Transfer,7214.43,2024-12-31
191,3888,Payment,3587.1,2022-11-30
192,2936,Withdrawal,8839.13,2022-08-27
193,842,Withdrawal,914.1,2024-02-22
194,3883,Transfer,9139.44,2023-07-30
195,33,Transfer,7216.54,2025-02-02
196,4830,Payment,6279.73,2024-05-31
197,4228,Deposit,379.83,2022-12-04
198,3482,Payment,4686.83,2024-02-16
199,4706,Deposit,5924.61,2023-11-27
200,4338,Payment,9300.88,2023-11-17
201,4021,Transfer,3319.85,2024-07-03
202,1891,Deposit,6426.26,2023-08-20
203,661,Withdrawal,7559.63,2023-08-26
204,953,Withdrawal,8265.58,2022-09-14
205,2748,Deposit,4066.19,2022-09-28
206,4159,Deposit,2138.69,2023-04-17
207,232,Deposit,8964.06,2022-12-21
208,842,Deposit,3757.1,2023-03-31
209,3592,Deposit,3940.15,2022-12-24
210,1727,Payment,347.26,2025-01-02
211,2920,Transfer,7192.92,2022-05-16
212,3524,Withdrawal,9190.5,2024-08-15
213,1507,Transfer,3699.92,2024-06-10
214,3979,Transfer,3153.93,2023-07-17
215,112,Withdrawal,8521.47,2025-01-19
216,4492,Transfer,8630.92,2022-09-27
217,4441,Payment,2034.58,2024-08-26
218,1781,Withdrawal,7633.64,2023-02-24
219,2594,Transfer,7070.31,2024-08-31
220,4239,Payment,2387.36,2022-09-11
221,592,Withdrawal,2302.3,2022-12-28
222,621,Deposit,1306.72,2024-05-01
223,785,Withdrawal,4482.78,2023-09-13
224,1237,Transfer,8919.27,2022-10-09
225,3036,Withdrawal,4374.65,2022-12-11
226,1914,Payment,9146.5,2024-07-02
227,4259,Withdrawal,3619.54,2023-03-06
228,2850,Deposit,2492.06,2024-08-08
229,2303,Deposit,7476.44,2023-07-03
230,4891,Payment,9020.71,2024-03-09
231,1120,Payment,4675.49,2025-03-21
232,4378,Deposit,6813.97,2024-08-09
233,1782,Withdrawal,7483.65,2024-04-03
234,2413,Transfer,9163.17,2025-02-12
235,1358,Payment,4845.61,2024-12-17
236,3150,Transfer,2339.29,2022-09-29
237,3296,Deposit,289.12,2023-11-11
238,2219,Transfer,5574.14,2023-08-31
239,1610,Payment,9514.67,2023-07-10
240,45,Withdrawal,8492.73,2023-01-29
241,3987,Withdrawal,4238.51,2023-06-19
242,890,Transfer,2875.59,2024-03-08
243,2101,Deposit,7759.57,2023-02-21
244,1142,Withdrawal,2379.22,2023-03-06
245,4177,Deposit,3031.61,2022-07-04
246,3119,Transfer,7038.94,2022-10-31
247,3715,Withdrawal,623.31,2022-07-15
248,4832,Deposit,544.72,2022-12-31
249,313,Transfer,4326.98,2023-11-04
250,2012,Payment,8323.52,2023-10-12
251,2423,Payment,7019.35,2023-03-26
252,4201,Payment,8064.23,2022-10-07
253,895,Deposit,5286.81,2024-07-16
254,907,Payment,2515.1,2022-05-19
255,2208,Deposit,4916.09,2024-02-22
256,973,Payment,2628.79,2022-07-23
257,2658,Deposit,2862.04,2023-01-13
258,666,Withdrawal,9302.04,2024-06-22
259,3442,Deposit,8947.87,2022-06-17
260,2791,Deposit,6597.21,2022-06-02
261,4431,Withdrawal,2612.41,2023-03-16
262,4377,Withdrawal,4663.38,2023-04-28
263,2113,Transfer,2458.85,2025-01-01
264,3588,Withdrawal,3173.89,2023-05-08
265,3254,Transfer,3934.13,2023-03-22
266,1953,Transfer,7248.36,2023-10-06
267,4820,Withdrawal,1447.5,2024-07-13
268,370,Withdrawal,981.24,2024-08-11
269,1907,Transfer,7757.7,2022-11-25
270,2897,Transfer,6454.25,2023-09-23
271,2244,Deposit,8916.74,2023-07-21
272,2664,Deposit,8372.42,2023-01-05
273,499,Payment,4175.24,2023-01-27
274,345,Transfer,9039.29,2023-10-08
275,1855,Deposit,7530.27,2023-02-20
276,2296,Payment,8452.23,2024-10-27
277,4591,Transfer,4990.36,2025-02-26
278,2281,Deposit,1375.23,2022-11-22
279,1244,Payment,8699.08,2024-06-02
280,4843,Withdrawal,221.99,2025-01-20
281,4621,Transfer,4838.78,2024-11-25
282,4750,Payment,5214.64,2025-05-03
283,4416,Transfer,3006.45,2023-02-03
284,1590,Deposit,9650.13,2022-09-14
285,3784,Payment,6172.92,2024-04-10
286,39,Transfer,1821.71,2023-03-27
287,3015,Withdrawal,3026.45,2023-02-20
288,4987,Withdrawal,1339.91,2025-04-06
289,1834,Withdrawal,2534.45,2025-01-29
290,4569,Payment,1087.85,2022-09-19
291,976,Transfer,7802.42,2024-03-30
292,815,Deposit,5476.53,2024-03-03
293,1572,Withdrawal,5841.04,2024-12-11
294,2443,Withdrawal,6768.83,2024-05-24
295,4203,Withdrawal,6571.92,2022-11-21
296,4128,Payment,5881.1,2023-12-13
297,2906,Withdrawal,7614.23,2023-11-01
298,3234,Withdrawal,6957.78,2022-09-04
299,2907,Payment,3938.15,2024-07-09
300,2343,Withdrawal,3876.09,2024-05-30
301,566,Deposit,4558.42,2023-09-14
302,2382,Transfer,5272.09,2022-10-15
303,2450,Transfer,7162.26,2023-06-03
304,2685,Transfer,9940.95,2023-05-22
305,3277,Transfer,8320.13,2022-09-22
306,1666,Transfer,2035.5,2024-12-01
307,714,Withdrawal,9100.42,2025-01-16
308,3207,Withdrawal,755.55,2023-06-04
309,4184,Transfer,892.01,2025-03-17
310,4491,Payment,9050.03,2022-12-28
311,4788,Deposit,4704.96,2024-09-11
312,4056,Deposit,164.8,2025-04-04
313,20,Deposit,4736.56,2024-09-12
314,4492,Withdrawal,690.76,2025-02-06
315,2940,Transfer,2640.46,2022-08-16
316,2565,Payment,8156.31,2023-11-21
317,4522,Withdrawal,520.36,2024-04-13
318,3559,Payment,9671.03,2024-07-18
319,27,Payment,4082.99,2022-12-04
320,2919,Withdrawal,9322.48,2024-01-09
