LoanID	CustomerID	LoanType	LoanAmount	InterestRate	LoanStartDate	LoanEndDate
1	3588	Car	372048	4.38	21/05/2020	11/06/2029
2	4979	Car	45999	7.7	25/05/2023	31/07/2026
3	3762	Personal	452069	11.2	13/01/2024	23/04/2027
4	4484	Car	280848	5.81	29/01/2023	28/01/2027
5	290	Home	8997	7.1	26/03/2021	29/02/2028
6	4075	Car	47808	3	27/01/2021	17/12/2028
7	454	Car	355826	4.18	06/08/2022	12/06/2026
8	1605	Car	316741	8.12	27/01/2023	16/10/2025
9	2101	Home	21532	11.5	19/07/2021	12/12/2026
10	974	Car	370865	2.97	25/08/2021	10/03/2028
11	430	Home	385172	12.25	10/10/2023	12/05/2028
12	3176	Personal	207754	11.44	28/04/2022	29/11/2026
13	4120	Personal	101085	8.28	04/12/2023	18/10/2029
14	4595	Car	473257	9.18	31/05/2020	07/09/2028
15	4850	Education	258686	2.5	05/12/2020	08/01/2027
16	4515	Home	377249	5.5	12/09/2021	31/12/2028
17	478	Car	285526	9.27	21/11/2021	11/10/2027
18	1201	Education	120758	5.64	28/10/2020	14/07/2025
19	867	Personal	134879	7.47	21/04/2023	21/05/2025
20	3105	Home	449620	3.73	21/06/2022	13/03/2026
21	3307	Home	64208	5.36	24/01/2021	19/01/2030
22	3793	Personal	389483	9.89	02/04/2022	11/05/2028
23	882	Education	494654	6.13	02/06/2023	22/09/2027
24	3391	Education	342845	4.44	14/09/2021	29/06/2025
25	3535	Education	3444	9.01	09/09/2020	21/05/2029
26	1572	Home	48742	2.6	25/05/2020	09/12/2027
27	1089	Personal	380180	6.63	09/04/2023	24/07/2028
28	3125	Home	81750	8.34	01/10/2022	28/07/2028
29	4643	Personal	193718	8.55	23/06/2021	14/09/2028
30	2152	Car	115181	6.75	25/07/2020	27/09/2025
31	1990	Personal	288641	4.58	21/02/2023	01/07/2029
32	3326	Education	22372	5.87	10/11/2020	05/10/2027
33	256	Personal	152491	3	12/11/2020	25/03/2028
34	1962	Home	375843	11.5	08/12/2020	31/01/2028
35	2288	Car	112429	2.84	28/10/2022	03/11/2027
36	4127	Car	379485	5.98	08/10/2020	29/04/2027
37	1875	Personal	111947	6.19	29/04/2024	21/12/2026
38	519	Car	15600	4.97	14/02/2022	13/05/2025
39	3343	Home	85472	9.32	19/09/2023	29/06/2027
40	2096	Education	489267	9.41	14/10/2021	15/02/2027
41	4035	Home	93612	3.18	09/10/2020	07/06/2025
42	1168	Personal	361370	11.84	18/08/2020	30/05/2026
43	3617	Car	85641	4.39	11/10/2020	05/06/2026
44	422	Personal	350568	4.55	15/08/2023	10/01/2029
45	4160	Home	365406	5.47	13/08/2022	06/09/2025
46	4225	Education	233676	12.03	14/02/2023	14/12/2025
47	338	Personal	97582	8.08	05/04/2023	27/04/2026
48	3669	Car	148844	5.43	09/06/2020	22/08/2028
49	458	Education	307462	6.04	15/03/2023	10/12/2029
50	2940	Car	157996	7.62	23/06/2020	23/11/2026
51	3935	Home	29710	5.22	16/09/2021	26/08/2027
52	4912	Personal	464078	6.89	17/09/2023	24/11/2025
53	369	Car	94361	11.49	19/03/2021	21/12/2028
54	1020	Education	28400	11.02	08/12/2023	22/05/2026
55	1382	Home	66597	3.55	21/12/2023	05/03/2026
56	1922	Personal	300646	8.36	08/06/2020	13/06/2025
57	4623	Car	264594	11.6	14/03/2023	16/05/2029
58	2689	Personal	341974	9.65	12/03/2022	23/04/2028
59	3912	Car	94663	3.58	13/03/2021	12/08/2026
60	2618	Car	399296	4.28	16/10/2021	24/12/2029
61	4260	Home	369292	5.4	04/02/2024	16/09/2025
62	2143	Car	403655	5.63	25/05/2023	12/05/2027
63	3415	Home	323842	9.77	14/01/2023	25/07/2029
64	365	Education	88682	10.75	28/12/2021	18/12/2026
65	2432	Education	256303	6.41	09/01/2024	04/02/2028
66	3954	Personal	244298	11.62	18/06/2021	11/10/2025
67	1688	Home	245207	9.15	09/03/2024	25/11/2029
68	424	Home	331618	7.31	21/03/2021	13/12/2025
69	2672	Education	121287	5.39	09/02/2021	29/03/2029
70	3245	Education	263405	5.39	26/08/2022	27/12/2027
71	2842	Home	300903	11.47	26/05/2020	27/06/2028
72	4193	Home	203628	3.74	12/08/2023	02/01/2027
73	3158	Car	479635	10.14	03/03/2022	05/03/2027
74	1640	Personal	309979	9.64	19/02/2022	14/12/2029
75	3429	Home	324790	9.4	08/04/2022	05/03/2029
76	3655	Personal	68473	7.59	14/03/2022	08/12/2029
77	4218	Personal	486737	10.78	28/12/2021	07/07/2027
78	1710	Personal	313375	2.71	12/05/2023	26/06/2025
79	4446	Home	264117	6.7	02/05/2021	26/11/2028
80	3444	Education	88224	8.37	10/07/2020	28/03/2030
81	4363	Home	249929	9.14	04/12/2021	26/08/2027
82	2379	Home	449282	12.09	23/01/2021	09/03/2026
83	757	Personal	262106	9.86	20/12/2022	09/04/2029
84	1735	Home	103532	9.01	06/08/2022	25/10/2029
85	2781	Home	289011	7.31	12/03/2023	02/10/2028
86	3252	Personal	338421	8.43	19/05/2022	19/01/2029
87	4013	Education	398991	4.87	09/06/2023	04/08/2026
88	800	Education	2035	3.36	05/02/2022	29/12/2026
89	2052	Education	145953	11.91	16/06/2022	09/04/2030
90	3581	Home	393916	11.27	08/05/2022	25/03/2027
91	3017	Education	39314	9.96	24/06/2021	22/05/2025
92	1322	Personal	336334	12.26	13/07/2020	24/06/2026
93	2776	Car	92005	8.69	29/05/2022	22/06/2027
94	4485	Education	473323	7.03	31/05/2023	07/06/2025
95	727	Education	226341	11.54	19/08/2020	16/04/2029
96	2206	Personal	370685	10.84	11/02/2023	28/03/2029
97	129	Home	391011	10.55	01/11/2023	16/06/2026
98	602	Education	433758	7.14	20/05/2022	04/04/2026
99	3732	Home	310077	5.07	23/08/2023	02/09/2025
100	3915	Home	272397	7.65	12/12/2020	20/11/2025
101	506	Car	496735	5.68	01/06/2022	21/05/2028
102	3033	Home	412294	4.56	20/11/2021	02/10/2028
103	432	Home	384687	3.64	13/03/2023	15/05/2026
104	3397	Personal	363429	8.2	09/11/2023	10/05/2029
105	2565	Home	363930	5.2	06/02/2022	13/03/2030
106	3101	Personal	259241	4.66	16/11/2021	25/05/2027
107	2893	Education	13382	6.81	12/10/2021	16/08/2029
108	1941	Home	185701	5.81	15/12/2022	07/12/2026
109	1128	Education	136929	9.29	15/05/2023	14/04/2028
110	2176	Home	219638	7.82	13/10/2022	16/01/2027
111	1997	Education	415668	6.51	06/03/2021	22/07/2028
112	2106	Education	479781	12.18	09/02/2024	26/10/2025
113	4062	Home	119771	12.01	07/05/2022	08/11/2028
114	4826	Car	496603	5.99	26/09/2023	18/12/2027
115	1325	Education	165146	7.3	15/11/2023	01/05/2026
116	3766	Education	293042	11.73	07/04/2021	22/04/2030
117	2245	Personal	490667	4.79	13/06/2020	17/07/2026
118	4094	Home	270997	5.13	29/03/2023	30/04/2026
119	1056	Home	216784	10.17	04/05/2022	28/12/2025
120	2541	Education	334369	3.06	02/10/2020	12/06/2028
121	4794	Personal	391576	3.07	30/08/2021	23/06/2025
122	83	Education	130769	9.05	28/02/2021	02/08/2029
123	3582	Education	40240	6.03	14/07/2021	05/05/2028
124	4248	Car	176334	7.92	24/07/2023	07/06/2026
125	789	Home	79441	6.2	10/11/2021	04/04/2029
126	923	Home	194860	5.88	18/06/2023	20/02/2030
127	4643	Personal	144724	10.36	13/08/2022	17/11/2028
128	2050	Car	410091	3.18	17/05/2022	01/05/2029
129	1925	Home	249662	3.75	13/04/2022	25/05/2029
130	4785	Personal	305801	9.45	16/05/2020	01/09/2026
131	3469	Car	27884	10.15	22/07/2022	19/12/2026
132	4711	Home	273606	3.48	20/03/2023	04/02/2026
133	1925	Education	105592	4.2	03/02/2022	27/08/2029
134	3132	Personal	227642	5.81	28/01/2022	21/07/2027
135	2269	Personal	262768	6.08	07/07/2021	19/07/2025
136	1627	Home	190014	5.65	02/12/2022	03/07/2029
137	527	Home	234378	2.99	20/04/2022	24/12/2025
138	4652	Car	201729	6.28	11/06/2022	05/04/2030
139	4969	Personal	21881	2.86	27/04/2021	07/07/2026
140	1786	Education	145384	10.52	24/08/2022	02/04/2028
141	2908	Car	37501	9.77	15/07/2020	02/03/2029
142	4223	Home	491112	7.65	14/08/2022	17/08/2029
143	3828	Education	315285	4.76	07/03/2021	12/01/2026
144	1956	Home	494173	12.1	15/10/2021	20/07/2027
145	2605	Car	116773	6.13	24/05/2021	09/06/2026
146	4171	Personal	466598	10.89	01/01/2024	16/03/2027
147	2825	Home	347174	5.71	24/07/2021	03/10/2028
148	1626	Education	28832	11.27	07/12/2022	01/12/2025
149	2707	Home	407495	10.34	29/01/2024	18/05/2026
150	2614	Home	119474	8.78	02/02/2021	04/09/2025
151	1417	Car	78929	5.64	09/08/2021	27/10/2028
152	2042	Home	426792	9.44	09/12/2021	19/03/2027
153	2721	Home	107295	5.75	08/12/2023	10/06/2026
154	2456	Home	13753	4.74	01/08/2021	18/07/2029
155	1737	Home	18002	7.91	23/07/2021	06/06/2026
156	3307	Personal	73583	4.94	26/05/2021	06/02/2027
157	2262	Education	382603	12.16	14/11/2021	10/05/2030
158	3060	Car	239249	5.19	17/03/2024	28/05/2025
159	4523	Home	28110	12.05	24/10/2020	22/05/2026
160	4191	Car	148506	3.36	16/03/2024	29/04/2027
161	1442	Personal	472729	4.85	15/10/2020	22/04/2029
162	1617	Home	243308	9.17	14/04/2022	05/04/2029
163	859	Personal	237683	10.71	17/12/2022	08/03/2026
164	575	Education	429511	8.44	25/12/2022	07/08/2026
165	4250	Education	65471	5.66	25/04/2021	30/07/2027
166	24	Education	450988	8.19	15/06/2023	07/10/2026
167	3988	Car	49455	5.66	11/10/2020	05/08/2026
168	4276	Personal	187933	10.44	27/10/2023	23/10/2028
169	2636	Car	350856	3.26	30/09/2023	14/07/2026
170	4849	Personal	242250	11.84	21/11/2023	08/07/2028
171	713	Home	69176	3.16	19/03/2021	31/08/2029
172	1215	Personal	350151	10.89	18/02/2023	20/03/2030
173	4225	Home	319305	6.51	01/11/2022	28/09/2029
174	2570	Car	313554	8.46	27/06/2023	19/10/2025
175	392	Home	158367	7.23	28/02/2022	29/05/2028
176	319	Car	114315	9.01	21/05/2023	19/06/2026
177	3008	Car	125437	7.75	07/01/2021	23/01/2029
178	2239	Car	264640	3.99	19/05/2020	16/05/2029
179	2376	Education	307511	11.49	18/09/2020	18/08/2029
180	3687	Education	288299	6.83	13/08/2021	13/01/2026
181	1868	Personal	3954	12.24	07/05/2022	08/04/2029
182	4277	Home	169880	12.26	11/11/2022	26/08/2029
183	1919	Car	474975	10.85	03/12/2022	16/11/2028
184	391	Car	496013	9.99	18/12/2022	06/07/2029
185	1306	Car	437732	2.84	29/04/2021	16/01/2027
186	1321	Car	54388	10.51	15/10/2023	08/03/2028
187	799	Car	155927	11.71	11/11/2021	11/11/2028
188	4405	Home	99287	5.54	18/07/2020	27/03/2028
189	3027	Education	142698	6.7	19/11/2021	13/03/2030
190	1789	Education	470131	3.23	31/08/2023	24/09/2029
191	1474	Home	145889	6.2	15/07/2023	23/10/2026
192	76	Education	102489	8.16	09/11/2022	21/10/2026
193	3435	Car	270298	11.06	01/10/2021	27/07/2027
194	3586	Personal	50796	7.75	05/09/2022	15/09/2025
195	2911	Education	88374	4.03	27/04/2023	24/02/2030
196	3061	Education	32378	6.9	09/08/2022	01/12/2028
197	3804	Personal	455637	5.59	05/04/2024	13/01/2029
198	2223	Home	469899	6.79	18/04/2021	28/05/2027
199	1965	Car	337439	11.17	14/12/2021	23/12/2027
200	1494	Car	129674	6.1	22/04/2023	05/07/2027
201	1907	Education	87452	4.4	27/05/2021	02/08/2028
202	1640	Personal	313132	8.98	13/12/2022	12/05/2025
203	2868	Car	350885	8.36	19/03/2021	28/06/2026
204	4086	Home	263301	7.45	29/09/2023	10/07/2026
205	373	Car	330200	11.68	24/08/2020	04/04/2030
206	324	Car	174421	7.22	20/12/2020	07/10/2025
207	955	Personal	454415	6.56	25/04/2023	12/05/2028
208	4551	Education	392779	10.79	27/05/2020	14/07/2028
209	1771	Home	390128	12.32	06/07/2020	18/12/2026
210	223	Education	3968	2.55	27/08/2020	29/05/2025
